file_prefix,system,source_file,generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261103-q051TfEMOvdTbyeqM1rY,2026-02-28 06:45:03.873,0.001286,,,0,0,358,15,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1109,851,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261102-27eoTfykBHLwshu4lno7,2026-02-28 06:45:02.021,0.014603,,,0,0,4692,45,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1775,1157,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261100-yO890A5dkFYEkhbAMmkv,2026-02-28 06:45:00.814,0.00288,,,0,0,750,44,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1026,578,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261099-aLTd7zwVSb2PMcn200Fl,2026-02-28 06:44:59.321,0.001286,,,0,0,358,15,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1427,1167,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261097-rfyeq2iPmFX7pfRkomUk,2026-02-28 06:44:57.342,0.014603,,,0,0,4692,45,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1899,1277,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261095-lYja2oxCsNEjEIztHLCw,2026-02-28 06:44:55.310,0.00288,,,0,0,750,44,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1852,1402,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261093-8BsnZfLldHLOXW7E4rzO,2026-02-28 06:44:53.545,0.001286,,,0,0,358,15,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1699,1437,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261091-uJmNOKdwoQ21HBgJ9T2b,2026-02-28 06:44:51.606,0.014603,,,0,0,4692,45,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1859,1243,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261090-ggB3QZv2xlaqBMj6C1XW,2026-02-28 06:44:50.184,0.00288,,,0,0,750,44,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1240,788,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261089-sG54cZux70L273rq1Lxy,2026-02-28 06:44:49.085,0.001286,,,0,0,358,15,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,787,524,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261087-vRsfuj6ZL2tekyu1r679,2026-02-28 06:44:47.095,0.014603,,,0,0,4692,45,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1799,956,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261084-2mF1FDvUqrV1lC8lDQpw,2026-02-28 06:44:44.897,0.00288,,,0,0,750,44,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1339,861,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261083-S5hhwbALtlZo6i98knCJ,2026-02-28 06:44:43.176,0.001286,,,0,0,358,15,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,849,584,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261081-VfpLX6XG0f721HXpHOt2,2026-02-28 06:44:41.092,0.014603,,,0,0,4692,45,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1929,1307,,BIM+IOT Assistant Proto
c7,NEO4J,c7_openrouter_activity_2026-02-28.csv,gen-1772261079-tner8lLHsoJqTILvAj0F,2026-02-28 06:44:39.164,0.00288,,,0,0,750,44,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1742,1270,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261198-2Q8qBQtwKJTzReHxGw3q,2026-02-28 06:46:38.761,0.001161,,,0,0,341,10,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1594,1350,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261195-MQ0HRxuxjcoF7130AH9g,2026-02-28 06:46:35.225,0.01493,,,0,0,4687,68,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2587,906,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261194-VCIfERAF6uT4z5DszoqR,2026-02-28 06:46:34.020,0.002759,,,0,0,744,37,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,887,595,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261192-MLpMwS1PAMgVpjxYjeYL,2026-02-28 06:46:32.067,0.001167,,,0,0,343,10,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1091,851,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261188-joGVYVdszLgKCP9X1xfP,2026-02-28 06:46:28.926,0.014936,,,0,0,4689,68,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,3041,1225,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261187-6eYBKWSPAgNO9shWAjRU,2026-02-28 06:46:27.250,0.002818,,,0,0,744,41,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1604,1209,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261185-h4giQdLArvdCQu27DrYl,2026-02-28 06:46:25.817,0.001167,,,0,0,343,10,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1364,1119,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261182-XWzFEdFMlfSeFqZRcYfG,2026-02-28 06:46:22.499,0.014936,,,0,0,4689,68,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,3109,1294,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261180-ZqaNHXJtMgKXVaXv9VNp,2026-02-28 06:46:20.835,0.002818,,,0,0,744,41,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1586,1196,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261179-RWjT2KEFTICqAisvmCV9,2026-02-28 06:46:19.338,0.001167,,,0,0,343,10,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1419,1172,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261176-Tx6oJ7Jw9tGkBvKqIGas,2026-02-28 06:46:16.002,0.014936,,,0,0,4689,68,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,3188,1363,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261174-tQt3bhE0FSfMFBUaWUtD,2026-02-28 06:46:14.917,0.002818,,,0,0,744,41,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1008,616,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261173-R6gWkoberUwofToVEY47,2026-02-28 06:46:13.192,0.001167,,,0,0,343,10,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1640,1398,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261169-5LAXhTRHp8fvMwHDJXsr,2026-02-28 06:46:09.948,0.014936,,,0,0,4689,68,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,3116,1294,,BIM+IOT Assistant Proto
c8,NEO4J,c8_openrouter_activity_2026-02-28.csv,gen-1772261168-A1RzUuD4ehGb0fAJiHk6,2026-02-28 06:46:08.165,0.002818,,,0,0,744,41,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1501,1235,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261290-SMCLmBOBzAGZUuhalbSf,2026-02-28 06:48:10.856,0.004012,,,0,0,896,91,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1422,475,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261288-CwLvsQKK50BLAavIizMF,2026-02-28 06:48:08.124,0.013858,,,0,0,4261,81,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2542,670,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261286-nmNEW8QDqiIdtvalJhhu,2026-02-28 06:48:06.884,0.002889,,,0,0,758,43,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1058,538,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261284-s7SXR1XPu6rpBlzirYR9,2026-02-28 06:48:04.953,0.004012,,,0,0,896,91,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1726,813,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261281-Lhil8JPspaOKxLe8o5a5,2026-02-28 06:48:01.897,0.013858,,,0,0,4261,81,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2832,877,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261280-YlkuELCGE7n9lVeqtw9b,2026-02-28 06:48:00.375,0.002889,,,0,0,758,43,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1330,810,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261278-Uw86lEXgw0mAUnBlGE58,2026-02-28 06:47:58.508,0.004012,,,0,0,896,91,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1642,720,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261275-8E8NAx0DN8PUMQeLS0CU,2026-02-28 06:47:55.849,0.013858,,,0,0,4261,81,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2382,532,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261274-pe8kCvJopl2t8OACUigX,2026-02-28 06:47:54.634,0.002889,,,0,0,758,43,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1035,582,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261272-Ca16JbJ8rp5I9pjIOuEG,2026-02-28 06:47:52.054,0.004012,,,0,0,896,91,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2332,1419,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261269-LKmayAPfLCzZ1HAxuCBV,2026-02-28 06:47:49.187,0.013858,,,0,0,4261,81,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2672,835,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261267-z2vGobVgGiJ45o12nLfZ,2026-02-28 06:47:47.909,0.002889,,,0,0,758,43,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1089,581,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261265-9DYIaSi3SmHXb5ayTnIp,2026-02-28 06:47:45.239,0.003953,,,0,0,896,87,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1475,555,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261260-03A678KNRL9i92b6NZrS,2026-02-28 06:47:40.368,0.013858,,,0,0,4261,81,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2854,936,,BIM+IOT Assistant Proto
c9,NEO4J,c9_openrouter_activity_2026-02-28.csv,gen-1772261258-R5dg9BUYujS0IThRxwVr,2026-02-28 06:47:38.460,0.002889,,,0,0,758,43,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1717,1201,,BIM+IOT Assistant Proto
