file_prefix,system,source_file,generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260540-zUGE4m8Edl3ABclPbB9B,2026-02-28 06:35:40.843,0.005571,,,0,0,1666,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1881,1094,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260537-lQhvuWyN3czw28VhEsRj,2026-02-28 06:35:37.673,0.014879,,,0,0,4690,64,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2246,538,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260535-aSYEgWWl44fIF83JhQmb,2026-02-28 06:35:35.815,0.002839,,,0,0,746,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,997,590,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260533-7xyNXNJWea6Y1QaGnb7X,2026-02-28 06:35:33.563,0.005571,,,0,0,1666,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1374,581,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260530-AIlydEGRIQJ8z5styQMv,2026-02-28 06:35:30.994,0.014879,,,0,0,4690,64,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2370,710,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260529-9LAhrBMEEayb1EC2OpER,2026-02-28 06:35:29.687,0.002839,,,0,0,746,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,986,568,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260526-7VUAf1tGRQmZc3uXxvwT,2026-02-28 06:35:26.775,0.005571,,,0,0,1666,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2828,2050,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260523-zsYhwEyyMq2owPYey82h,2026-02-28 06:35:23.520,0.014879,,,0,0,4690,64,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,3164,1454,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260522-vvuIT5qUkgrBQd78qcHv,2026-02-28 06:35:22.384,0.002839,,,0,0,746,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1062,662,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260520-A3LrTti5nEU5wKMacAnH,2026-02-28 06:35:20.193,0.005571,,,0,0,1666,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2111,1325,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260517-VGFHtboZikzlTaTzUv8F,2026-02-28 06:35:17.138,0.014879,,,0,0,4690,64,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2967,1255,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260515-VCGyMlg9tQn1rqrBwVGN,2026-02-28 06:35:15.460,0.002839,,,0,0,746,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1604,1189,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260513-mnnCmlijdifurg4kDL6r,2026-02-28 06:35:13.868,0.005571,,,0,0,1666,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1514,732,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260510-i7vAiC65mLODW29xAss4,2026-02-28 06:35:10.360,0.014879,,,0,0,4690,64,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,3114,1466,,BIM+IOT Assistant Proto
c1,NEO4J,c1_openrouter_activity_2026-02-28.csv,gen-1772260508-VKISspQ0FmoDfpyS5jMF,2026-02-28 06:35:08.563,0.002839,,,0,0,746,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1530,1214,,BIM+IOT Assistant Proto
c2,NEO4J,c2_openrouter_activity_2026-02-28.csv,gen-1772260682-BEwpnGD1u12sG9Xl5L2G,2026-02-28 06:38:02.749,0.020112,,,0,0,5957,163,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,5612,1326,,BIM+IOT Assistant Proto
c2,NEO4J,c2_openrouter_activity_2026-02-28.csv,gen-1772260679-iDbENQAovmb9BxlkxKN9,2026-02-28 06:37:59.643,0.014731,,,0,0,4690,54,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,3016,1372,,BIM+IOT Assistant Proto
c2,NEO4J,c2_openrouter_activity_2026-02-28.csv,gen-1772260677-wK5dYDQSw2KrMx6Q9f7j,2026-02-28 06:37:57.983,0.002839,,,0,0,746,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1588,1184,,BIM+IOT Assistant Proto
c2,NEO4J,c2_openrouter_activity_2026-02-28.csv,gen-1772260672-rduLjARrirjRC7QMXmu9,2026-02-28 06:37:52.380,0.020112,,,0,0,5957,163,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,5516,1246,,BIM+IOT Assistant Proto
c2,NEO4J,c2_openrouter_activity_2026-02-28.csv,gen-1772260669-gldK2bRjqBBsGxwTa37s,2026-02-28 06:37:49.299,0.014731,,,0,0,4690,54,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2980,1346,,BIM+IOT Assistant Proto
c2,NEO4J,c2_openrouter_activity_2026-02-28.csv,gen-1772260667-rY8Mty9S7yPQy46EJx65,2026-02-28 06:37:47.309,0.002839,,,0,0,746,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1796,1392,,BIM+IOT Assistant Proto
c2,NEO4J,c2_openrouter_activity_2026-02-28.csv,gen-1772260661-Oo7COAiLLLGkSAyGqQUM,2026-02-28 06:37:41.934,0.020261,,,0,0,5957,173,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,5299,1258,,BIM+IOT Assistant Proto
c2,NEO4J,c2_openrouter_activity_2026-02-28.csv,gen-1772260658-g1hBjv5fy5hduDoso5An,2026-02-28 06:37:38.855,0.014731,,,0,0,4690,54,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2913,1271,,BIM+IOT Assistant Proto
c2,NEO4J,c2_openrouter_activity_2026-02-28.csv,gen-1772260657-kl6NRyhxVlXAacVjDbcr,2026-02-28 06:37:37.140,0.002839,,,0,0,746,42,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,1636,1231,,BIM+IOT Assistant Proto
c2,NEO4J,c2_openrouter_activity_2026-02-28.csv,gen-1772260651-1elSI5ojbcw8lopBz1tF,2026-02-28 06:37:31.790,0.020261,,,0,0,5957,173,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,5273,1232,,BIM+IOT Assistant Proto
c2,NEO4J,c2_openrouter_activity_2026-02-28.csv,gen-1772260648-rmJpbZnEltmBZ76dhXv4,2026-02-28 06:37:28.783,0.014731,,,0,0,4690,54,0,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,False,True,,stop,stop,2882,1238,,BIM+IOT Assistant Proto
